
Predictions(GD) 	 True Value
0			 0
1			 1
1			 1
1			 1
1			 1
1			 1
1			 1
1			 1
1			 1
0			 0
0			 0
1			 1
1			 1
1			 1
1			 0
0			 0
0			 0
1			 1
0			 0
0			 0
1			 1
0			 0
1			 1
0			 0
0			 0
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
0			 0
1			 1
0			 0
0			 0
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
1			 1
0			 0
0			 0
0			 0
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
0			 0
1			 1
0			 0
1			 1
0			 0
1			 1
0			 0
0			 0
1			 1
1			 1
0			 0
0			 0
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
0			 0
1			 1
0			 0
1			 1
0			 0
0			 0
0			 0
1			 1
0			 0
0			 0
0			 0
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
0			 0
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
0			 0
1			 1
0			 0
1			 1
1			 1
0			 0
1			 1
0			 0
1			 1
1			 1
0			 0
0			 0
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
0			 0
0			 0
1			 1
0			 0
0			 0
1			 1
1			 1
1			 1
0			 0
0			 0
1			 1
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
1			 1
0			 0
1			 1
0			 0
0			 0
0			 0
0			 0
1			 1
1			 1
1			 1
1			 1
1			 1
1			 1
1			 1
1			 1
0			 0
1			 1
0			 0
0			 0
1			 1
1			 1
0			 0
1			 1
1			 1
1			 1
1			 1
Testing loss 0.15825
Testing accuracy 0.995
